id	page	source	title	original_title	url	normalized_url	domain	category	tags	score	tier	is_free	status	http_status	final_url	notes
8a18364bfde6	8	annotation	收藏猫插件-Chrome插件商店,谷歌浏览器插件,谷歌应用商店插件推荐及下载	收藏猫插件-Chrome插件商店,谷歌浏览器插件,谷歌应用商店插件推荐及下载	https://chrome.pictureknow.com/	https://chrome.pictureknow.com/	chrome.pictureknow.com	软件工具		96	free	True	ok	200	https://chrome.pictureknow.com/	
17bd7f87b02f	8	annotation	Userscript - 油猴脚本搜索引擎	Userscript - 油猴脚本搜索引擎	https://www.userscript.zone/	https://www.userscript.zone/	userscript.zone	搜索源	搜索	96	free	True	ok	200	https://www.userscript.zone/	
cd2ce250a43a	8	annotation	Chat Memo：帮你自动保存所有AI聊天记录	Chat Memo：帮你自动保存所有AI聊天记录	https://chatmemo.ai/	https://chatmemo.ai/	chatmemo.ai	AI工具	AI	96	free	True	ok	200	https://chatmemo.ai/	
ea094d3d807a	8	annotation	Timeline - AI对话效率翻倍	Timeline - AI对话效率翻倍	https://timeline4ai.com/	https://timeline4ai.com/	timeline4ai.com	AI工具	AI	96	free	True	ok	200	https://timeline4ai.com/	
8d6d21231a3d	8	annotation	LingRead - 智能阅读助手_AI 驱动的文章解析、智能分段与段落翻译工具	LingRead - 智能阅读助手_AI 驱动的文章解析、智能分段与段落翻译工具	https://lingread.app/	https://lingread.app/	lingread.app	AI工具	AI	96	free	True	ok	200	https://lingread.app/	
bca3957eaf53	8	annotation	小鹅通视频课件课程下载工具	小鹅通视频课件课程下载工具	https://www.xuewuzhi.cn/xiaoetech_downloader#download	https://www.xuewuzhi.cn/xiaoetech_downloader#download	xuewuzhi.cn	学习资料		96	free	True	ok	200	https://www.xuewuzhi.cn/xiaoetech_downloader#download	
5433bf5f7a92	8	annotation	批量图片下载器_一个简洁高效的浏览器扩展	批量图片下载器_一个简洁高效的浏览器扩展	https://www.crxsoso.com/webstore/detail/efjilmjkgdcoidgeajkhdlmjmhkfjhni	https://www.crxsoso.com/webstore/detail/efjilmjkgdcoidgeajkhdlmjmhkfjhni	crxsoso.com	软件工具	设计	96	free	True	ok	200	https://www.crxsoso.com/webstore/detail/efjilmjkgdcoidgeajkhdlmjmhkfjhni	
15b8ae7cb33d	8	annotation	PixHunt：一款批量图片下载器，一键提取网页所有图片，智能过滤	PixHunt：一款批量图片下载器，一键提取网页所有图片，智能过滤	https://spiritfoxlab.ababtools.com/PixHunt	https://spiritfoxlab.ababtools.com/PixHunt	spiritfoxlab.ababtools.com	软件工具	设计	96	free	True	ok	200	https://spiritfoxlab.ababtools.com/PixHunt	
082186b176d2	8	annotation	小熊歌单搬家_专注于音乐歌单迁移的工具	小熊歌单搬家_专注于音乐歌单迁移的工具	https://playlist.victor42.work/	https://playlist.victor42.work/	playlist.victor42.work	软件工具		96	free	True	ok	200	https://playlist.victor42.work/	
7a08b023652a	8	annotation	小源教材下载助手 - 中小学教育资源一键畅快下载	小源教材下载助手 - 中小学教育资源一键畅快下载	https://www.yuanstudy.com/pages/7/	https://www.yuanstudy.com/pages/7/	yuanstudy.com	学习资料		96	free	True	ok	200	https://www.yuanstudy.com/pages/7/	
42ffbe7ec84f	8	annotation	Unpaywall：学术文章全文检索工具，获取学术研究论文的免费全文，包含 52,032,449 篇免费	Unpaywall：学术文章全文检索工具，获取学术研究论文的免费全文，包含 52,032,449 篇免费	https://unpaywall.org/	https://unpaywall.org/	unpaywall.org	搜索源		96	free	True	ok	200	https://unpaywall.org/	
1a9da4ff4ece	9	annotation	ViiTor：免费的AI翻译插件，支持实时音视频转写和翻译，以及双语字幕展示	ViiTor：免费的AI翻译插件，支持实时音视频转写和翻译，以及双语字幕展示	https://viitor.io/	https://viitor.io/	viitor.io	AI工具	AI	94	free	True	ok	200	https://www.viitor.com/	redirect
41aca4f8ef91	9	annotation	Mouse Tooltip Translator：鼠标悬停翻译神器，划词翻译、PDF翻译、OCR识别	Mouse Tooltip Translator：鼠标悬停翻译神器，划词翻译、PDF翻译、OCR识别	https://github.com/ttop32/MouseTooltipTranslator	https://github.com/ttop32/MouseTooltipTranslator	github.com	软件工具	开源	96	free	True	ok	200	https://github.com/ttop32/MouseTooltipTranslator	
